Template,Line,Sentence issue,Current [Placeholder],Current sentence,Suggested improvement
CONSULTING_AGREEMENT_MASTER_EN.md,187,[Description] is too generic for a payment schedule field.,[Description],- Payment Schedule: **[Description]**,Use [Payment schedule].
DATA_PROCESSING_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Data Processing Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
DATA_PROCESSING_AGREEMENT_MASTER_EN.md,165,“No more than [Number]” is incomplete because it does not say per period.,[Number],"The Controller may conduct audits upon reasonable notice, no more than **[Number]**, unless required by law or following a security incident.",Use [Audit frequency] or “no more than [Number] times per [Time unit]”.
DATA_PROCESSING_AGREEMENT_MASTER_EN.md,208,Placeholder is example-like rather than a clean field name.,"[Names, emails, phone numbers, payment data, etc.]","- Types of Personal Data: **[Names, emails, phone numbers, payment data, etc.]**",Use [Personal data categories].
DISTRIBUTION_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Distribution Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
EMPLOYEE_SEPARATION_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Employee Separation Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
EMPLOYEE_SEPARATION_AGREEMENT_MASTER_EN.md,31,Generic [Date] is used for the employee’s employment start date.,[Date],The Employee has been employed by the Employer since **[Date]**.,Use [Employment start date].
EMPLOYEE_SEPARATION_AGREEMENT_MASTER_EN.md,41,Generic [Date] is used where the sentence defines the Termination Date.,[Date],"The employment shall terminate on **[Date]** (the ""Termination Date"").",Use [Termination date].
EMPLOYMENT_AGREEMENT_FIXED_PAYMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Employment Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
EMPLOYMENT_AGREEMENT_FIXED_PAYMENT_MASTER_EN.md,45,Generic [Date] is used for a commencement/start date.,[Date],Employment commences on **[Date]**.,Use [Start date].
EMPLOYMENT_AGREEMENT_FIXED_PAYMENT_MASTER_EN.md,49,The second placeholder is a date tied to a term expiry but still uses generic [Date].,"[Term type], [Date]",The employment is **[Term type] until [Date]**.,Use [Term type] until [Expiry date].
EMPLOYMENT_AGREEMENT_FIXED_PAYMENT_MASTER_EN.md,183,[Description] is too generic for “Pension contribution”.,[Description],- Pension contribution: **[Description]**,Use [Pension contribution] or a benefits-specific placeholder.
EMPLOYMENT_AGREEMENT_FIXED_PAYMENT_MASTER_EN.md,184,[Description] is too generic for “Health insurance”.,[Description],- Health insurance: **[Description]**,Use [Health insurance] or a benefits-specific placeholder.
EMPLOYMENT_AGREEMENT_FIXED_PAYMENT_MASTER_EN.md,185,[Description] is too generic for “Bonus scheme”.,[Description],- Bonus scheme: **[Description]**,Use [Bonus scheme] or a benefits-specific placeholder.
EMPLOYMENT_AGREEMENT_FIXED_PAYMENT_MASTER_EN.md,186,[Description] is too generic for “Other benefits”.,[Description],- Other benefits: **[Description]**,Use [Other benefits] or a benefits-specific placeholder.
EMPLOYMENT_AGREEMENT_HOURLY_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Employment Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
EMPLOYMENT_AGREEMENT_HOURLY_MASTER_EN.md,45,Generic [Date] is used for a commencement/start date.,[Date],Employment commences on **[Date]**.,Use [Start date].
EMPLOYMENT_AGREEMENT_HOURLY_MASTER_EN.md,49,The second placeholder is a date tied to a term expiry but still uses generic [Date].,"[Term type], [Date]",The employment is **[Term type] until [Date]**. No minimum number of working hours is guaranteed unless expressly stated in this Agreement.,Use [Term type] until [Expiry date].
EMPLOYMENT_AGREEMENT_HOURLY_MASTER_EN.md,73,[Number] does not read naturally as a payment frequency.,[Number],Wages shall be paid **[Number]** in arrears to the Employee’s designated bank account.,Use [Payment frequency] or rewrite as “paid [Number] times per [Time unit]”.
EMPLOYMENT_AGREEMENT_SALARIED_FIXED_TERM_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Employment Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
EMPLOYMENT_AGREEMENT_SALARIED_FIXED_TERM_MASTER_EN.md,45,Generic [Date] is used for a commencement/start date.,"[Date], [Expiry date]","Employment commences on **[Date]** and automatically terminates on **[Expiry date]**, without further notice, unless extended in writing.",Use [Start date].
EMPLOYMENT_AGREEMENT_SALARIED_FIXED_TERM_MASTER_EN.md,185,[Description] is too generic for “Pension contribution”.,[Description],- Pension contribution: **[Description]**,Use [Pension contribution] or a benefits-specific placeholder.
EMPLOYMENT_AGREEMENT_SALARIED_FIXED_TERM_MASTER_EN.md,186,[Description] is too generic for “Insurance coverage”.,[Description],- Insurance coverage: **[Description]**,Use [Insurance coverage] or a benefits-specific placeholder.
EXCLUSIVE_DISTRIBUTION_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Exclusive Distribution Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
EXCLUSIVE_LICENSE_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Exclusive License Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
FREELANCE_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Freelance Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
FREELANCE_AGREEMENT_MASTER_EN.md,62,"Both alternatives use the same placeholder, so the sentence no longer distinguishes hourly/fixed/project fees.","[Number], [Currency], [Number], [Currency]","The Client shall pay the Freelancer **[Number] [Currency]** or **[Number] [Currency]**, as specified in Schedule 1.","Use distinct placeholders such as [Hourly rate] and [Fixed fee], or use one [Fee structure] placeholder."
FREELANCE_AGREEMENT_MASTER_EN.md,132,[Number] followed by “amount or fee paid” is grammatically awkward.,[Number],"The Freelancer’s total liability shall not exceed **[Number] amount or fee paid**, except in cases of gross negligence, fraud, or wilful misconduct.",Use [Liability cap] or “[Number] [Currency] / fees paid”.
INTELLECTUAL_PROPERTY_ASSIGNMENT_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Intellectual Property Assignment Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
LOAN_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Loan Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
LOAN_AGREEMENT_MASTER_EN.md,35,Generic [Date] is used for the loan disbursement deadline/date.,[Date],The Loan Amount shall be transferred to the Borrower on or before **[Date]** to the account designated by the Borrower.,Use [Disbursement date] or [Disbursement deadline].
LOAN_AGREEMENT_MASTER_EN.md,46,Interest option is only a number and duplicates the next percentage-style option.,[Number],"- **[Number]% per annum**, or","Label the option, e.g. [Fixed interest rate]."
LOAN_AGREEMENT_MASTER_EN.md,47,"Interest option is too generic and does not explain whether it is a margin, reference rate, or variable rate.",[Number],"- **[Number]%**, or",Use [Reference rate plus margin] or [Variable interest rate].
LOAN_AGREEMENT_MASTER_EN.md,64,Generic [Date] is used for final repayment/maturity.,[Date],- full repayment on **[Date]**,Use [Maturity date] or [Final repayment date].
MEMORANDUM_OF_UNDERSTANDING_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Memorandum of Understanding (the ""MoU"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
MEMORANDUM_OF_UNDERSTANDING_MASTER_EN.md,55,Generic [Date] is used for a specific milestone.,[Date],- Initial discussions: **[Date]**,Use [Initial discussion date].
MEMORANDUM_OF_UNDERSTANDING_MASTER_EN.md,56,Generic [Date] is used for a specific milestone.,[Date],- Draft agreement: **[Date]**,Use [Draft agreement date].
MEMORANDUM_OF_UNDERSTANDING_MASTER_EN.md,57,Generic [Date] is used for a specific milestone.,[Date],- Expected launch: **[Date]**,Use [Expected launch date].
MUTUAL_NDA_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Mutual Non-Disclosure Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
MUTUAL_NDA_MASTER_EN.md,68,[Number] [Time unit] years duplicates the time unit.,"[Number], [Time unit], [Number], [Time unit]",This Agreement commences on the Effective Date and remains in force for **[Number] [Time unit]**. The confidentiality obligations survive termination or expiration for **[Number] [Time unit]** years.,Use “[Number] years” or “for [Number] [Time unit]”.
NON_COMPETE_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Non-Compete Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
NON_EXCLUSIVE_LICENSE_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Non-Exclusive License Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
NON_SOLICITATION_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Non-Solicitation Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
OFFER_LETTER_MASTER_EN.md,11,Generic [Date] is used for the offer issue date.,[Date],"This Offer Letter (the ""Offer"") is issued on **[Date]**.",Use [Issue date].
OFFER_LETTER_MASTER_EN.md,33,Generic [Date] is used even though the sentence names a start date.,[Date],"The anticipated start date is **[Date]**, subject to fulfillment of the conditions set out in Section 8.",Use [Start date].
OFFER_LETTER_MASTER_EN.md,50,[Description] is too generic for “Other benefits”.,[Description],- Other benefits: **[Description]**,Use [Other benefits] or a benefits-specific placeholder.
OFFER_LETTER_MASTER_EN.md,88,Generic [Date] is used for an acceptance deadline.,[Date],"To accept this Offer, please confirm acceptance in writing no later than **[Date]**. Failure to accept by this date may result in withdrawal of the Offer.",Use [Acceptance deadline].
PARTNERSHIP_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Partnership Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
PARTNERSHIP_AGREEMENT_MASTER_EN.md,103,The same generic [Date] placeholder is used for both start and end of the financial year.,"[Date], [Date]",The financial year runs from **[Date]** to **[Date]**.,Use [Financial year start date] and [Financial year end date].
PAYMENT_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Payment Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
PAYMENT_AGREEMENT_MASTER_EN.md,35,[Description] is vague for the legal basis of a debt.,[Description],The Outstanding Amount arises from **[Description]**.,Use [Debt basis] or [Underlying agreement / invoice reference].
PAYMENT_AGREEMENT_MASTER_EN.md,46,Generic [Date] is used for installment due dates.,"[Number], [Currency], [Date]",- **[Number] [Currency] due [Date]**,Use [Due date].
PAYMENT_AGREEMENT_MASTER_EN.md,47,Generic [Date] is used for installment due dates.,"[Number], [Currency], [Date]",- **[Number] [Currency] due [Date]**,Use [Due date].
PAYMENT_AGREEMENT_MASTER_EN.md,48,Generic [Date] is used for installment due dates.,"[Number], [Currency], [Date]",- **[Number] [Currency] due [Date]**,Use [Due date].
PAYMENT_AGREEMENT_MASTER_EN.md,52,Generic [Date] is used for the start date of a recurring payment plan.,"[Number], [Currency], [Date]",- **[Number] [Currency] starting [Date]**,Use [Payment start date].
PAYMENT_AGREEMENT_MASTER_EN.md,65,Generic [Date] is used for the interest accrual start date.,"[Number], [Date]",Interest shall accrue at **[Number]% per annum** from **[Date]** until full payment.,Use [Interest start date].
PAYMENT_AGREEMENT_MASTER_EN.md,100,Standalone [Description] in the security schedule is too vague.,[Description],- **[Description]**,Use [Security description].
PRODUCT_SUPPLY_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Product Supply Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
SALES_AND_PURCHASE_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Sales and Purchase Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
SALES_AND_PURCHASE_AGREEMENT_MASTER_EN.md,57,Generic [Date] is used where the sentence defines the Closing Date.,[Date],"Closing shall take place on **[Date]** (the ""Closing Date"").",Use [Closing date].
SERVICE_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Service Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
SERVICE_AGREEMENT_MASTER_EN.md,57,"Both alternatives use the same placeholder, so the sentence no longer distinguishes hourly/fixed/project fees.","[Number], [Currency], [Number], [Currency]","The Customer shall pay the Provider **[Number] [Currency]** or **[Number] [Currency]**, as set out in Schedule 1.","Use distinct placeholders such as [Hourly rate] and [Fixed fee], or use one [Fee structure] placeholder."
SERVICE_AGREEMENT_MASTER_EN.md,143,[Number] days/months mixes the number and unit choice awkwardly.,[Number],Either Party may terminate this Agreement with **[Number] days/months** written notice.,Use [Number] [Time unit] or [Notice period].
SERVICE_AGREEMENT_MASTER_EN.md,186,[Description] is too generic for a payment schedule field.,[Description],- Payment Schedule: **[Description]**,Use [Payment schedule].
SHAREHOLDERS_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Shareholders’ Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
SHARE_PURCHASE_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Share Purchase Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
SHARE_PURCHASE_AGREEMENT_MASTER_EN.md,67,Generic [Date] is used where the sentence defines the Closing Date.,[Date],"Closing shall take place on **[Date]** (the ""Closing Date"").",Use [Closing date].
UNILATERAL_NDA_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Unilateral Non-Disclosure Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
UNILATERAL_NDA_MASTER_EN.md,76,“Until [Number] [Time unit]” is grammatically wrong for a duration.,"[Number], [Time unit], [Number], [Time unit]",This Agreement remains in effect from the Effective Date until **[Number] [Time unit]**. The confidentiality obligations shall survive for **[Number] [Time unit]** years after the last disclosure of Confidential Information.,Rewrite as “for [Number] [Time unit]” or use [End date].
VENDOR_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Vendor Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
VENDOR_AGREEMENT_MASTER_EN.md,170,[Number] followed by “amount or contract value” is grammatically awkward.,[Number],"The Vendor’s total liability shall not exceed **[Number] amount or contract value**, except in cases of gross negligence, wilful misconduct, or product liability.",Use [Liability cap] or “[Number] [Currency] / contract value”.
VENDOR_AGREEMENT_MASTER_EN.md,189,[Number] days/months mixes the number and unit choice awkwardly.,[Number],Either Party may terminate with **[Number] days/months** written notice.,Use [Number] [Time unit] or [Notice period].
